Date,Campaign_Name,Channel,Impressions,Clicks,CTR,Conversions,Conversion_Rate,Cost,Revenue,ROI
2024-01-01,New_Year_Sale,Facebook,45000,1350,3.00,67,4.96,450.00,3350.00,644.44
2024-01-02,Winter_Collection,Google_Ads,62000,1860,3.00,93,5.00,620.00,4650.00,650.00
2024-01-03,Flash_Sale,Instagram,38000,1520,4.00,76,5.00,380.00,3800.00,900.00
2024-01-04,Brand_Awareness,Twitter,25000,750,3.00,30,4.00,250.00,1500.00,500.00
2024-01-05,Product_Launch,LinkedIn,18000,720,4.00,43,5.97,360.00,2150.00,497.22
2024-01-06,Retargeting,Facebook,52000,2080,4.00,125,6.01,520.00,6250.00,1101.92
2024-01-07,Search_Campaign,Google_Ads,71000,2130,3.00,127,5.96,710.00,6350.00,794.37
2024-01-08,Story_Ads,Instagram,41000,1640,4.00,98,5.98,410.00,4900.00,1095.12
2024-01-09,Engagement,Twitter,28000,840,3.00,42,5.00,280.00,2100.00,650.00
2024-01-10,Lead_Gen,LinkedIn,21000,840,4.00,59,7.02,420.00,2950.00,602.38
2024-01-11,Weekend_Sale,Facebook,48000,1920,4.00,115,5.99,480.00,5750.00,1097.92
2024-01-12,Shopping_Ads,Google_Ads,68000,2040,3.00,122,5.98,680.00,6100.00,797.06
2024-01-13,Influencer,Instagram,44000,1760,4.00,105,5.97,440.00,5250.00,1093.18
2024-01-14,Trending_Topic,Twitter,31000,930,3.00,46,4.95,310.00,2300.00,641.94
2024-01-15,B2B_Campaign,LinkedIn,23000,920,4.00,64,6.96,460.00,3200.00,595.65
2024-01-16,Clearance_Sale,Facebook,55000,2200,4.00,132,6.00,550.00,6600.00,1100.00
2024-01-17,Display_Ads,Google_Ads,75000,2250,3.00,135,6.00,750.00,6750.00,800.00
2024-01-18,Reels_Campaign,Instagram,47000,1880,4.00,112,5.96,470.00,5600.00,1091.49
2024-01-19,Viral_Content,Twitter,34000,1020,3.00,51,5.00,340.00,2550.00,650.00
2024-01-20,Webinar_Promo,LinkedIn,26000,1040,4.00,72,6.92,520.00,3600.00,592.31
2024-01-21,Valentine_Promo,Facebook,58000,2320,4.00,139,5.99,580.00,6950.00,1098.28
2024-01-22,Smart_Shopping,Google_Ads,78000,2340,3.00,140,5.98,780.00,7000.00,797.44
2024-01-23,User_Generated,Instagram,50000,2000,4.00,120,6.00,500.00,6000.00,1100.00
2024-01-24,Live_Tweet,Twitter,37000,1110,3.00,55,4.95,370.00,2750.00,643.24
2024-01-25,Case_Study,LinkedIn,29000,1160,4.00,80,6.90,580.00,4000.00,589.66
2024-01-26,Super_Sale,Facebook,61000,2440,4.00,146,5.98,610.00,7300.00,1096.72
2024-01-27,Performance_Max,Google_Ads,81000,2430,3.00,145,5.97,810.00,7250.00,794.75
2024-01-28,Carousel_Ads,Instagram,53000,2120,4.00,127,5.99,530.00,6350.00,1098.11
2024-01-29,Thread_Campaign,Twitter,40000,1200,3.00,60,5.00,400.00,3000.00,650.00
2024-01-30,Thought_Leader,LinkedIn,32000,1280,4.00,89,6.95,640.00,4450.00,595.31
2024-02-01,Feb_Launch,Facebook,64000,2560,4.00,153,5.98,640.00,7650.00,1095.31
2024-02-02,Video_Ads,Google_Ads,84000,2520,3.00,151,5.99,840.00,7550.00,798.81
2024-02-03,IGTV_Series,Instagram,56000,2240,4.00,134,5.98,560.00,6700.00,1096.43
2024-02-04,Spaces_Event,Twitter,43000,1290,3.00,64,4.96,430.00,3200.00,644.19
2024-02-05,Newsletter,LinkedIn,35000,1400,4.00,97,6.93,700.00,4850.00,592.86
2024-02-06,Love_Campaign,Facebook,67000,2680,4.00,160,5.97,670.00,8000.00,1094.03
2024-02-07,Discovery_Ads,Google_Ads,87000,2610,3.00,156,5.98,870.00,7800.00,796.55
2024-02-08,Collection_Ads,Instagram,59000,2360,4.00,141,5.97,590.00,7050.00,1094.92
2024-02-09,Poll_Campaign,Twitter,46000,1380,3.00,69,5.00,460.00,3450.00,650.00
2024-02-10,Event_Promo,LinkedIn,38000,1520,4.00,105,6.91,760.00,5250.00,590.79
2024-02-11,Mega_Sale,Facebook,70000,2800,4.00,168,6.00,700.00,8400.00,1100.00
2024-02-12,Shopping_Feed,Google_Ads,90000,2700,3.00,162,6.00,900.00,8100.00,800.00
2024-02-13,Explore_Ads,Instagram,62000,2480,4.00,148,5.97,620.00,7400.00,1093.55
2024-02-14,Valentine_Day,Twitter,49000,1470,3.00,73,4.97,490.00,3650.00,645.92
2024-02-15,Partnership,LinkedIn,41000,1640,4.00,113,6.89,820.00,5650.00,589.02
2024-02-16,Spring_Preview,Facebook,73000,2920,4.00,175,5.99,730.00,8750.00,1098.63
2024-02-17,Local_Inventory,Google_Ads,93000,2790,3.00,167,5.98,930.00,8350.00,797.85
2024-02-18,Guide_Content,Instagram,65000,2600,4.00,155,5.96,650.00,7750.00,1092.31
2024-02-19,Trending_Tag,Twitter,52000,1560,3.00,78,5.00,520.00,3900.00,650.00
2024-02-20,Industry_Report,LinkedIn,44000,1760,4.00,121,6.88,880.00,6050.00,587.50
