Order_ID,Customer_ID,Product_Name,Category,Price,Quantity,Total,Payment_Method,Status,Country,City
ORD001,CUST1234,Wireless_Headphones,Electronics,89.99,1,89.99,Credit_Card,Delivered,USA,New_York
ORD002,CUST5678,Running_Shoes,Footwear,129.99,2,259.98,PayPal,Shipped,Canada,Toronto
ORD003,CUST9012,Coffee_Maker,Appliances,79.99,1,79.99,Credit_Card,Delivered,UK,London
ORD004,CUST3456,Yoga_Mat,Sports,29.99,3,89.97,Debit_Card,Processing,USA,Los_Angeles
ORD005,CUST7890,Backpack,Accessories,49.99,1,49.99,PayPal,Delivered,Australia,Sydney
ORD006,CUST2345,Smart_Watch,Electronics,199.99,1,199.99,Credit_Card,Delivered,USA,Chicago
ORD007,CUST6789,Protein_Powder,Health,39.99,2,79.98,Credit_Card,Shipped,Canada,Vancouver
ORD008,CUST0123,Water_Bottle,Sports,19.99,4,79.96,Debit_Card,Delivered,UK,Manchester
ORD009,CUST4567,Laptop_Stand,Office,45.99,1,45.99,PayPal,Processing,USA,Seattle
ORD010,CUST8901,Bluetooth_Speaker,Electronics,69.99,1,69.99,Credit_Card,Delivered,Australia,Melbourne
ORD011,CUST1111,Running_Shoes,Footwear,129.99,1,129.99,Credit_Card,Shipped,USA,Boston
ORD012,CUST2222,Coffee_Maker,Appliances,79.99,2,159.98,PayPal,Delivered,Canada,Montreal
ORD013,CUST3333,Yoga_Mat,Sports,29.99,1,29.99,Debit_Card,Delivered,UK,Birmingham
ORD014,CUST4444,Wireless_Headphones,Electronics,89.99,2,179.98,Credit_Card,Processing,USA,Miami
ORD015,CUST5555,Backpack,Accessories,49.99,3,149.97,PayPal,Shipped,Australia,Brisbane
ORD016,CUST6666,Smart_Watch,Electronics,199.99,1,199.99,Credit_Card,Delivered,USA,Denver
ORD017,CUST7777,Protein_Powder,Health,39.99,4,159.96,Debit_Card,Delivered,Canada,Calgary
ORD018,CUST8888,Water_Bottle,Sports,19.99,2,39.98,PayPal,Shipped,UK,Liverpool
ORD019,CUST9999,Laptop_Stand,Office,45.99,1,45.99,Credit_Card,Processing,USA,Austin
ORD020,CUST0000,Bluetooth_Speaker,Electronics,69.99,3,209.97,Credit_Card,Delivered,Australia,Perth
ORD021,CUST1234,Running_Shoes,Footwear,129.99,1,129.99,PayPal,Delivered,USA,Portland
ORD022,CUST5678,Coffee_Maker,Appliances,79.99,1,79.99,Credit_Card,Shipped,Canada,Ottawa
ORD023,CUST9012,Yoga_Mat,Sports,29.99,5,149.95,Debit_Card,Delivered,UK,Leeds
ORD024,CUST3456,Wireless_Headphones,Electronics,89.99,1,89.99,PayPal,Processing,USA,Phoenix
ORD025,CUST7890,Backpack,Accessories,49.99,2,99.98,Credit_Card,Delivered,Australia,Adelaide
ORD026,CUST2345,Smart_Watch,Electronics,199.99,2,399.98,Credit_Card,Shipped,USA,Philadelphia
ORD027,CUST6789,Protein_Powder,Health,39.99,3,119.97,PayPal,Delivered,Canada,Edmonton
ORD028,CUST0123,Water_Bottle,Sports,19.99,6,119.94,Debit_Card,Processing,UK,Glasgow
ORD029,CUST4567,Laptop_Stand,Office,45.99,2,91.98,Credit_Card,Delivered,USA,San_Diego
ORD030,CUST8901,Bluetooth_Speaker,Electronics,69.99,1,69.99,PayPal,Shipped,Australia,Canberra
ORD031,CUST1111,Running_Shoes,Footwear,129.99,3,389.97,Credit_Card,Delivered,USA,Dallas
ORD032,CUST2222,Coffee_Maker,Appliances,79.99,1,79.99,Debit_Card,Processing,Canada,Winnipeg
ORD033,CUST3333,Yoga_Mat,Sports,29.99,2,59.98,PayPal,Delivered,UK,Sheffield
ORD034,CUST4444,Wireless_Headphones,Electronics,89.99,4,359.96,Credit_Card,Shipped,USA,Houston
ORD035,CUST5555,Backpack,Accessories,49.99,1,49.99,Credit_Card,Delivered,Australia,Hobart
ORD036,CUST6666,Smart_Watch,Electronics,199.99,1,199.99,PayPal,Processing,USA,Charlotte
ORD037,CUST7777,Protein_Powder,Health,39.99,2,79.98,Debit_Card,Delivered,Canada,Quebec_City
ORD038,CUST8888,Water_Bottle,Sports,19.99,3,59.97,Credit_Card,Shipped,UK,Bristol
ORD039,CUST9999,Laptop_Stand,Office,45.99,1,45.99,PayPal,Delivered,USA,San_Antonio
ORD040,CUST0000,Bluetooth_Speaker,Electronics,69.99,2,139.98,Credit_Card,Processing,Australia,Darwin
ORD041,CUST1234,Running_Shoes,Footwear,129.99,2,259.98,Credit_Card,Delivered,USA,Columbus
ORD042,CUST5678,Coffee_Maker,Appliances,79.99,3,239.97,PayPal,Shipped,Canada,Halifax
ORD043,CUST9012,Yoga_Mat,Sports,29.99,1,29.99,Debit_Card,Delivered,UK,Newcastle
ORD044,CUST3456,Wireless_Headphones,Electronics,89.99,2,179.98,Credit_Card,Processing,USA,Indianapolis
ORD045,CUST7890,Backpack,Accessories,49.99,4,199.96,PayPal,Delivered,Australia,Gold_Coast
ORD046,CUST2345,Smart_Watch,Electronics,199.99,1,199.99,Credit_Card,Shipped,USA,San_Francisco
ORD047,CUST6789,Protein_Powder,Health,39.99,5,199.95,Debit_Card,Delivered,Canada,Victoria
ORD048,CUST0123,Water_Bottle,Sports,19.99,2,39.98,PayPal,Processing,UK,Edinburgh
ORD049,CUST4567,Laptop_Stand,Office,45.99,3,137.97,Credit_Card,Delivered,USA,Jacksonville
ORD050,CUST8901,Bluetooth_Speaker,Electronics,69.99,1,69.99,Credit_Card,Shipped,Australia,Wollongong
