Date,Account,Category,Description,Debit,Credit,Balance,Type
2024-01-01,Checking,Income,Monthly_Salary,0,5000.00,5000.00,Credit
2024-01-03,Checking,Housing,Rent_Payment,1500.00,0,3500.00,Debit
2024-01-05,Checking,Utilities,Electricity_Bill,120.00,0,3380.00,Debit
2024-01-06,Checking,Utilities,Water_Bill,45.00,0,3335.00,Debit
2024-01-07,Checking,Transportation,Gas,60.00,0,3275.00,Debit
2024-01-08,Checking,Food,Groceries,250.00,0,3025.00,Debit
2024-01-10,Savings,Transfer,Monthly_Savings,500.00,0,2525.00,Debit
2024-01-12,Checking,Entertainment,Movie_Tickets,40.00,0,2485.00,Debit
2024-01-14,Checking,Food,Restaurant,85.00,0,2400.00,Debit
2024-01-15,Checking,Healthcare,Pharmacy,30.00,0,2370.00,Debit
2024-01-17,Checking,Transportation,Public_Transit,50.00,0,2320.00,Debit
2024-01-19,Checking,Shopping,Clothing,150.00,0,2170.00,Debit
2024-01-20,Checking,Food,Groceries,230.00,0,1940.00,Debit
2024-01-22,Checking,Entertainment,Concert_Tickets,120.00,0,1820.00,Debit
2024-01-24,Checking,Utilities,Internet_Bill,80.00,0,1740.00,Debit
2024-01-25,Checking,Income,Freelance_Work,0,800.00,2540.00,Credit
2024-01-26,Checking,Transportation,Gas,65.00,0,2475.00,Debit
2024-01-28,Checking,Food,Restaurant,95.00,0,2380.00,Debit
2024-01-30,Checking,Shopping,Electronics,300.00,0,2080.00,Debit
2024-02-01,Checking,Income,Monthly_Salary,0,5000.00,7080.00,Credit
2024-02-03,Checking,Housing,Rent_Payment,1500.00,0,5580.00,Debit
2024-02-05,Checking,Utilities,Electricity_Bill,135.00,0,5445.00,Debit
2024-02-06,Checking,Utilities,Water_Bill,48.00,0,5397.00,Debit
2024-02-07,Checking,Transportation,Gas,58.00,0,5339.00,Debit
2024-02-08,Checking,Food,Groceries,265.00,0,5074.00,Debit
2024-02-10,Savings,Transfer,Monthly_Savings,500.00,0,4574.00,Debit
2024-02-12,Checking,Entertainment,Streaming_Services,35.00,0,4539.00,Debit
2024-02-14,Checking,Food,Valentine_Dinner,180.00,0,4359.00,Debit
2024-02-15,Checking,Healthcare,Doctor_Visit,75.00,0,4284.00,Debit
2024-02-17,Checking,Transportation,Car_Maintenance,220.00,0,4064.00,Debit
2024-02-19,Checking,Shopping,Home_Goods,180.00,0,3884.00,Debit
2024-02-20,Checking,Food,Groceries,245.00,0,3639.00,Debit
2024-02-22,Checking,Entertainment,Game_Purchase,60.00,0,3579.00,Debit
2024-02-24,Checking,Utilities,Phone_Bill,70.00,0,3509.00,Debit
2024-02-25,Checking,Income,Freelance_Work,0,950.00,4459.00,Credit
2024-02-26,Checking,Transportation,Gas,62.00,0,4397.00,Debit
2024-02-28,Checking,Food,Restaurant,110.00,0,4287.00,Debit
2024-03-01,Checking,Income,Monthly_Salary,0,5000.00,9287.00,Credit
2024-03-03,Checking,Housing,Rent_Payment,1500.00,0,7787.00,Debit
2024-03-05,Checking,Utilities,Electricity_Bill,125.00,0,7662.00,Debit
2024-03-06,Checking,Utilities,Water_Bill,46.00,0,7616.00,Debit
2024-03-07,Checking,Transportation,Gas,64.00,0,7552.00,Debit
2024-03-08,Checking,Food,Groceries,275.00,0,7277.00,Debit
2024-03-10,Savings,Transfer,Monthly_Savings,500.00,0,6777.00,Debit
2024-03-12,Checking,Entertainment,Subscription_Box,45.00,0,6732.00,Debit
2024-03-14,Checking,Food,Coffee_Shop,30.00,0,6702.00,Debit
2024-03-15,Checking,Healthcare,Gym_Membership,55.00,0,6647.00,Debit
2024-03-17,Checking,Transportation,Public_Transit,50.00,0,6597.00,Debit
2024-03-19,Checking,Shopping,Books,65.00,0,6532.00,Debit
2024-03-20,Checking,Food,Groceries,240.00,0,6292.00,Debit
2024-03-22,Checking,Entertainment,Sports_Event,150.00,0,6142.00,Debit
2024-03-24,Checking,Utilities,Internet_Bill,80.00,0,6062.00,Debit
2024-03-25,Checking,Income,Bonus,0,1200.00,7262.00,Credit
2024-03-26,Checking,Transportation,Gas,61.00,0,7201.00,Debit
2024-03-28,Checking,Food,Restaurant,105.00,0,7096.00,Debit
2024-03-30,Checking,Shopping,Furniture,450.00,0,6646.00,Debit
